logit_0	logit_1	logit_2	logit_3	logit_4	logit_5	logit_6	logit_7	logit_8	logit_9	logit_10	logit_11	logit_12	logit_13	logit_14	logit_15	logit_16	logit_17	logit_18	logit_19	logit_20	logit_21	logit_22	logit_23	logit_24	logit_25	logit_26	logit_27	logit_28	logit_29	logit_30	logit_31	logit_32	logit_33	logit_34	logit_35	logit_36	logit_37	logit_38	logit_39	logit_40	logit_41	logit_42	logit_43	logit_44	logit_45	logit_46	logit_47	logit_48	logit_49	logit_50	logit_51	logit_52	logit_53	logit_54	logit_55	logit_56	logit_57	logit_58	logit_59	logit_60	logit_61	logit_62	logit_63	logit_64	logit_65	logit_66	logit_67	logit_68	logit_69	logit_70	logit_71	logit_72	logit_73	logit_74	logit_75	logit_76	logit_77	logit_78	logit_79	logit_80	logit_81	logit_82	logit_83	logit_84	logit_85	logit_86	logit_87	logit_88	logit_89	logit_90	logit_91	logit_92	logit_93	logit_94	logit_95	logit_96	logit_97	logit_98	logit_99	EnsemblGeneID
0.023356289	0.02697966	-0.07860176	0.011874303	0.14392428	0.01870282	-0.015042577	0.22035912	-0.0029968666	0.035135925	-0.0537441	0.059369482	0.008252848	0.031092454	0.08106402	0.020086467	-0.045832794	-0.05588679	0.02248501	0.0029468564	0.07650031	0.012615409	0.015462557	-0.062290147	-0.035074033	-0.0014004232	-0.07323915	-0.015673772	0.058297813	-0.011094812	0.0011646338	0.08231913	-0.03843843	-0.03400471	-0.015130902	-0.03866519	-0.03724221	0.024499744	-0.029491113	-0.078073435	0.03441067	-0.110408574	-0.061013866	-0.053713962	0.03041609	0.0049926145	0.010976716	0.087224364	-0.03439913	0.055183284	0.04801581	-0.05246435	0.12737615	0.039997973	0.06445462	0.09220369	0.22326344	0.07650511	-0.026355736	-0.031447537	0.038833447	-0.05436022	-0.06838512	-0.058697123	-0.0283445	-0.011911577	0.05055526	0.1383136	-0.019207543	0.0153026525	-0.03031185	0.12587172	0.02772133	-0.043593835	0.027990412	0.12913822	-0.092753135	0.03533292	0.146436	0.0229242	-0.08373585	-0.0457794	0.11022193	-0.0062907264	0.002651324	0.027946645	0.14996026	0.08414263	0.03525663	0.040303	-0.07813319	0.07378085	-0.020845316	0.04289769	-0.01761587	-0.09755974	0.036328398	0.035783835	0.016027058	-0.025270214	ENSG00000121410
0.0029593557	0.038044777	-0.088064015	0.04178345	0.13380648	0.0010921471	-0.035334274	0.19851243	-0.050690375	0.02386653	-0.03949812	0.06657861	0.063932575	0.036819164	0.051454823	0.031995147	-0.07118563	-0.05604259	0.010264196	0.024604103	0.068379536	0.0061266087	0.052663766	-0.08003934	-0.031406954	0.031580456	-0.088696696	-0.00978053	0.053996615	-0.02777686	0.02897529	0.08751208	-0.011749389	-0.013997816	0.008596321	-0.10396805	-0.037657235	0.008991651	-0.024408905	-0.07649088	0.06083161	-0.15352735	-0.06550241	-0.01086483	0.04452505	0.0016478831	0.00538925	0.12004565	-0.037194397	0.06012089	0.059959643	-0.044329472	0.10136635	0.042386405	0.08051135	0.07730678	0.1952423	0.07680669	-0.026698941	-0.063913316	0.022820938	-0.062372677	-0.07710962	-0.07299716	-0.036838688	-0.022276167	0.072486706	0.12859751	-0.04678435	0.018099401	-0.009644674	0.11289914	0.014886782	-0.053062014	0.0064545907	0.12813501	-0.093415484	-0.02147509	0.10143535	0.01964924	-0.052576765	-0.025464594	0.049863067	0.022655085	0.050973635	-0.0032267817	0.12810707	0.12989944	0.054148987	0.02865285	-0.057860907	0.0915124	-0.049687043	0.08739154	-0.020109337	-0.114283405	0.03737901	0.0394353	0.010508052	-0.04475713	ENSG00000148584
0.049081918	0.05861103	-0.05448018	0.03567081	0.08085169	-0.00044602435	0.0038566892	0.1345774	-0.040358346	0.0072614774	-0.0510114	0.08714256	0.08572069	0.004327763	0.052719217	0.012617144	-0.05856221	-0.082600705	0.030670792	0.03754839	0.028584847	0.0041181594	0.070344485	-0.0872331	0.0075548403	0.06987549	-0.08969203	-0.0062574465	0.06175828	-0.024522647	0.044303257	0.07030633	0.0012496077	-0.057461463	0.038729895	-0.05888433	-0.029158313	0.05590167	-0.044286918	-0.03593319	0.064587615	-0.14029963	-0.04547307	-0.009300954	0.038808152	-0.02062524	0.01541668	0.10999352	-0.035409257	0.0610454	0.07024557	-0.034069866	0.09435638	0.02867423	0.08150131	0.0071469853	0.1467271	0.04673874	-0.020217298	-0.09920259	0.043156017	-0.061282314	-0.05191291	-0.078759804	-0.043060333	-0.021130996	0.05641395	0.117177464	-0.006270596	0.08651157	0.016826358	0.11918551	0.013131075	-0.031597733	0.032105513	0.09694967	-0.029102646	-0.0022277795	0.083757564	0.059334725	-0.026398176	-0.027546518	0.07878512	0.007677154	0.015917072	0.035602868	0.13682495	0.07705862	0.04598926	-0.0016805481	-0.042321406	0.054466523	-0.058215145	0.09675059	-0.024334062	-0.13187745	0.056442335	0.10309941	0.009509706	-0.05440972	ENSG00000175899
0.05162722	0.115752794	-0.0726951	0.029852714	0.10150469	-0.0018782802	-0.009101857	0.101493225	-0.029160282	0.009511786	-0.041756596	0.057395086	0.041429	0.022462036	0.04527521	-0.023534581	-0.044064425	-0.08675596	0.052920505	0.06637067	-0.003980578	0.032354817	0.03956571	-0.088266276	-0.002504713	0.073823735	-0.09414126	-0.043061484	0.06692639	-0.030211993	0.062271707	0.072760716	0.010896087	-0.07381588	0.0071423706	-0.038678937	-0.0063461084	0.0831112	-0.050305925	-0.040468436	0.06922761	-0.11175791	-0.058705732	-0.015575783	0.028104609	-0.035563257	0.024859063	0.10699989	-0.008168845	0.018744962	0.059468556	-0.045186963	0.06745768	-0.008752126	0.074376635	-0.0033205803	0.1324092	0.0022518034	-0.0073519796	-0.09737135	0.042390104	-0.06935745	-0.02871542	-0.09057058	-0.046685625	-0.02769854	0.061076794	0.1300481	0.019886706	0.08555179	0.013180037	0.10608767	0.017647207	-0.018658336	0.057471827	0.08323072	-0.019579144	0.012080415	0.06331186	0.09820254	-0.03500764	-0.04152085	0.077949286	-0.008475501	-0.00325914	0.07549835	0.10991586	0.026202938	0.038650006	-0.0034020452	-0.030830631	0.06442365	-0.05037579	0.09119695	-0.0017164629	-0.14596955	0.042370252	0.09799504	0.014549654	-0.0172246	ENSG00000166535
0.020462744	0.018282827	-0.075739466	0.048436217	0.16660066	0.00047023036	-0.009958054	0.20147964	-0.02292567	0.016854197	-0.0549894	0.07496162	0.028635278	0.032333784	0.09691981	0.03133014	-0.058970153	-0.07033047	0.0019734656	0.010759916	0.07543158	0.006322846	0.05967766	-0.066302866	-0.0322423	0.016725395	-0.07890116	-0.015700415	0.065362215	-0.007876629	0.0023797578	0.08617594	-0.03776613	-0.046215985	0.016944356	-0.06419975	-0.037025385	0.021232147	-0.01605293	-0.06355259	0.033797577	-0.14935616	-0.06174003	-0.034543637	0.04457331	0.005458832	0.0045289136	0.12690502	-0.014496298	0.05444992	0.045832857	-0.048672587	0.100407034	0.027097901	0.07576261	0.09479838	0.21993878	0.045734268	-0.01582954	-0.049522392	0.04327985	-0.06303581	-0.073136866	-0.05563848	-0.038385905	-0.038619723	0.053619612	0.14775477	-0.03389349	0.026427194	-0.028010923	0.12273307	0.0315454	-0.037409853	0.022818731	0.117620036	-0.08534397	0.011796955	0.11599646	0.019909319	-0.061677374	-0.071398064	0.057850175	0.0014636964	0.022799328	0.03966605	0.14873624	0.122811615	0.07451837	0.013018357	-0.07554502	0.08593962	-0.031585015	0.032698687	-0.0053129504	-0.10537868	0.027197383	0.056847442	0.03729171	-0.021472387	ENSG00000128274
0.04512075	0.041782953	-0.069195725	0.038854744	0.15634337	0.013887235	-0.0004190721	0.22014068	-0.023109782	0.027836826	-0.06602353	0.093232565	0.02884433	0.030115535	0.093004294	0.0144150015	-0.057418376	-0.07445579	0.021586655	0.005316898	0.0689186	0.008340693	0.04636078	-0.061385587	-0.032305583	0.011301389	-0.07433039	-0.009552491	0.08154256	-0.010888884	0.0057107285	0.08663751	-0.042426083	-0.047029056	0.027130798	-0.047591023	-0.029760158	0.036189154	-0.02594258	-0.056734577	0.042525895	-0.1574352	-0.058288034	-0.037089624	0.034523137	0.0037946864	0.007313031	0.11395184	-0.002374446	0.042340655	0.044915315	-0.07403147	0.109977365	0.020518204	0.07456506	0.09815179	0.2042352	0.046271197	-0.030914696	-0.045514517	0.048476495	-0.059007786	-0.058609642	-0.069394745	-0.045585416	-0.02740765	0.042831846	0.14747146	-0.015532222	0.04773014	-0.026141118	0.1363889	0.01768316	-0.026313629	0.029044721	0.13143684	-0.07732099	0.015156708	0.12491151	0.049084507	-0.064965844	-0.05133072	0.07458145	-0.014881371	0.02560696	0.04959885	0.15304141	0.09112915	0.056042805	0.013707008	-0.0665314	0.07682833	-0.031385843	0.047836293	-0.0014392622	-0.103426754	0.0393262	0.060902517	0.022834795	-0.028456455	ENSG00000118017
0.041789904	0.028145503	-0.08914198	0.014787044	0.14643773	0.008915867	-0.015561623	0.20527253	-0.02170727	0.051796578	-0.054209135	0.04884888	0.06476567	0.048059717	0.06448291	0.027851913	-0.042951338	-0.05450609	0.02265735	0.013014231	0.0742428	0.012553908	0.059224896	-0.072107166	-0.038401797	0.00959032	-0.10048139	-0.014932754	0.0526849	0.0069875345	0.008019622	0.092889026	-0.004286864	-0.012048842	0.0028912406	-0.07487804	-0.040536672	0.016644187	-0.0356109	-0.1016119	0.04849514	-0.12567155	-0.059205517	-0.015614435	0.034518816	0.00077206874	-0.006270903	0.11328194	-0.016856281	0.0814566	0.045476306	-0.025664559	0.119756006	0.034704827	0.067387745	0.094893925	0.19774257	0.06292597	-0.011519903	-0.072126135	0.037663992	-0.08317389	-0.07452054	-0.03625544	-0.039371844	0.011462152	0.03801501	0.14126559	-0.04337936	0.009920234	-0.026931979	0.09995895	0.004263688	-0.033504687	0.013501488	0.15524322	-0.10448098	0.018038675	0.098277874	0.019686416	-0.054212023	-0.046999946	0.074016795	0.0014353702	0.011551021	0.034578808	0.16398269	0.11652168	0.03506575	0.01631628	-0.06620282	0.06675953	-0.04475239	0.0501934	-0.027220698	-0.09816862	0.0505256	0.040116206	0.0019305646	-0.029215826	ENSG00000094914
-0.01017976	0.055861667	-0.07489735	0.036462307	0.16418524	0.0043942966	-0.042690884	0.19673572	-0.021639323	0.024680207	-0.028631108	0.04421998	0.058845766	0.024662387	0.058855295	0.0382663	-0.066414066	-0.07467711	0.01347767	0.02563091	0.07460378	0.018762443	0.044122767	-0.08773545	-0.030383639	0.0061436817	-0.10366667	0.016086787	0.07358438	-0.012199172	0.013622698	0.07089664	-0.0055346284	-0.027501054	-0.013282442	-0.07118416	-0.04645997	0.012828827	-0.037437122	-0.084282205	0.04415787	-0.14162391	-0.06314099	-0.006856636	0.064165026	-0.0057034497	-0.008303354	0.09668772	-0.009694965	0.07116145	0.05219759	-0.03135919	0.116769396	0.037329067	0.06225299	0.067593865	0.16404739	0.08149132	-0.031156197	-0.06480731	0.023949904	-0.05317373	-0.0841375	-0.089801654	-0.047364693	-0.023964606	0.06513274	0.13421364	-0.029003376	0.018717451	-0.018766223	0.1132209	-0.004305128	-0.053183496	0.024170613	0.13444363	-0.10361907	-0.012102023	0.09172326	0.03280352	-0.05853016	-0.019730382	0.07642889	0.02328257	0.05103872	0.014660822	0.15000965	0.13253182	0.062308338	0.0096001085	-0.045177784	0.06719954	-0.047822304	0.048562676	0.0043238923	-0.11021888	0.051325258	0.04265144	-0.010583981	-0.04019333	ENSG00000081760
-0.0056430064	0.032581616	-0.08964027	0.049101412	0.16479386	-0.007548239	-0.022684816	0.21692517	-0.033825796	0.0034285598	-0.03766097	0.08379815	0.038866136	0.051845107	0.05508887	0.020409157	-0.060601935	-0.080052674	-0.0034394397	0.025730133	0.072195455	0.0039387345	0.06525849	-0.0718183	-0.04256374	0.028132223	-0.08823214	0.0036309194	0.07523663	-0.023102239	-0.00029459829	0.07814799	-0.04013168	-0.047314443	0.030300565	-0.050466392	-0.052585	0.03609462	-0.03633675	-0.06539564	0.034974143	-0.15580045	-0.073688656	-0.018545512	0.049531907	-0.0095303375	-0.011455908	0.103598684	-0.027533121	0.060513355	0.03830211	-0.042086694	0.096275434	0.029619128	0.07598281	0.091765106	0.19659184	0.06363387	-0.03042337	-0.057475884	0.04038685	-0.07113449	-0.06627007	-0.070186816	-0.036077797	-0.032094326	0.06133852	0.14988928	-0.030733822	0.02196969	-0.021782992	0.13116534	0.0063347034	-0.029448489	0.020290274	0.13535143	-0.08612512	0.0007124981	0.09837568	0.034306858	-0.05296618	-0.055026636	0.06636089	0.011400101	0.0371198	0.003860436	0.16994336	0.12116676	0.06994136	0.030486722	-0.08122867	0.08539782	-0.042344563	0.036090434	-0.014764859	-0.0903797	0.056178458	0.06276121	0.021688335	-0.040258225	ENSG00000114771
0.0002007531	0.041312754	-0.06853197	0.045441624	0.14732097	-0.005120091	-0.041617103	0.2006313	-0.032421045	0.021175792	-0.044031758	0.032183006	0.04012157	0.019060027	0.037146866	0.024306288	-0.04305319	-0.084370345	0.0022622254	0.022399869	0.082933396	-0.0073109167	0.04773545	-0.08688533	-0.03613857	0.019468732	-0.10766225	-0.0318705	0.056874067	0.020177454	0.014757033	0.078161344	-0.0069403285	-0.057858676	0.022502072	-0.05379808	-0.0610228	0.020486005	-0.013936407	-0.057594705	0.05521068	-0.14097854	-0.05905407	-0.008988235	0.04040489	-0.00841536	0.014325025	0.10108553	-0.023795817	0.07738107	0.03261499	-0.036419883	0.108649	0.032005683	0.077211395	0.083943136	0.19472918	0.0755986	-0.026242793	-0.051675417	0.030613545	-0.085502766	-0.09924387	-0.055022694	-0.03483832	-0.03280134	0.07476223	0.1650737	-0.036267802	0.012113873	-0.031406168	0.11766568	0.011829067	-0.057537377	0.012031093	0.15895365	-0.10100372	-0.005155514	0.105552614	0.020719904	-0.03220074	-0.04173355	0.06950627	0.0019484404	0.049541686	-0.0032642675	0.13759287	0.13130598	0.08236365	0.023804322	-0.060920205	0.09233539	-0.037411332	0.0300651	-0.03662374	-0.08911379	0.021550108	0.05043882	0.015785992	-0.037681915	ENSG00000109576
